populationSize,chromosomeSize,maxiter,p_cross,p_mutation,minDist,maxDist,elitismCount,alpha_sparsity,beta_space_penalty,PSLL,Activate_number,SparsityLevel,Illegal_positions,Time,Stopat
50,30,1000,0.9,0,2,5,2,45,200,10.1395,10,0.3333,0,50.1502,494
50,30,1000,0.9,0,2,5,2,52,200,10.1395,10,0.3333,0,49.1062,540
50,30,500,0.9,0,2,5,2,59,200,6.2087,8,0.2667,0,25.6113,488
50,30,1000,0.9,0,2,5,2,80,200,6.2087,8,0.2667,0,50.1023,490
50,30,1000,0.9,0,2,5,2,99,200,6.2087,8,0.2667,0,51.8694,3
,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,30.0000,200.0000,13.5687,13,0.4333,0,57.9492,582 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,30.0000,200.0000,13.5687,13,0.4333,0,44.0381,143 
100,30,2000,0.9000,0.8000,2.0000,5.0000,2,30.0000,200.0000,13.3693,13,0.4333,0,127.6165,892 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,60.0000,200.0000,6.2087,8,0.2667,0,42.4768,770 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,60.0000,200.0000,6.2087,8,0.2667,0,42.8079,820 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,45.0000,200.0000,16.1266,14,0.4667,0,41.7480,777 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,45.0000,200.0000,16.1266,14,0.4667,0,42.1822,270 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,30.0000,200.0000,12.3684,12,0.4000,0,43.7788,730 
50,30,1000,0.9000,0.0500,2.0000,5.0000,2,30.0000,200.0000,10.5638,11,0.3667,0,52.2499,846 
50,30,1000,0.9000,0.8000,2.0000,5.0000,2,30.0000,200.0000,13.4604,13,0.4333,0,40.6147,308 
50,30,1000,0.9000,0.9000,2.0000,5.0000,2,30.0000,200.0000,14.2393,14,0.4667,0,58.9931,764 
50,30,1000,0.9000,0.9000,2.0000,5.0000,2,30.0000,200.0000,14.5066,14,0.4667,0,44.8710,327 
