Number,SparsityLevel,PSLL,Alpha,FinalResult
14,0.466666666666667,16.1265816031009,0,16.1265816031009
14,0.466666666666667,16.1265816031009,0.5,15.8932482697676
14,0.466666666666667,16.1265816031009,1,15.6599149364342
14,0.466666666666667,16.1265816031009,1.5,15.4265816031009
14,0.466666666666667,16.1265816031009,2,15.1932482697676
14,0.466666666666667,16.1265816031009,2.5,14.9599149364342
14,0.466666666666667,16.1265816031009,3,14.7265816031009
14,0.466666666666667,16.1265816031009,3.5,14.4932482697676
14,0.466666666666667,16.1265816031009,4,14.2599149364342
14,0.466666666666667,16.1265816031009,4.5,14.0265816031009
14,0.466666666666667,16.1265816031009,5,13.7932482697676
14,0.466666666666667,16.1265816031009,5.5,13.5599149364342
14,0.466666666666667,16.1265816031009,6,13.3265816031009
14,0.466666666666667,16.1265816031009,6.5,13.0932482697676
14,0.466666666666667,16.1265816031009,7,12.8599149364342
14,0.466666666666667,16.1265816031009,7.5,12.6265816031009
14,0.466666666666667,16.1265816031009,8,12.3932482697676
14,0.466666666666667,16.1265816031009,8.5,12.1599149364342
14,0.466666666666667,16.1265816031009,9,11.9265816031009
14,0.466666666666667,16.1265816031009,9.5,11.6932482697676
14,0.466666666666667,16.1265816031009,10,11.4599149364342
14,0.466666666666667,16.1265816031009,10.5,11.2265816031009
14,0.466666666666667,16.1265816031009,11,10.9932482697676
14,0.466666666666667,16.1265816031009,11.5,10.7599149364342
14,0.466666666666667,16.1265816031009,12,10.5265816031009
14,0.466666666666667,16.1265816031009,12.5,10.2932482697676
14,0.466666666666667,16.1265816031009,13,10.0599149364342
14,0.466666666666667,16.1265816031009,13.5,9.8265816031009
14,0.466666666666667,16.1265816031009,14,9.59324826976757
14,0.466666666666667,16.1265816031009,14.5,9.35991493643423
14,0.466666666666667,16.1265816031009,15,9.1265816031009
14,0.466666666666667,16.1265816031009,15.5,8.89324826976756
14,0.466666666666667,16.1265816031009,16,8.65991493643423
14,0.466666666666667,16.1265816031009,16.5,8.4265816031009
14,0.466666666666667,16.1265816031009,17,8.19324826976757
14,0.466666666666667,16.1265816031009,17.5,7.95991493643423
14,0.466666666666667,16.1265816031009,18,7.7265816031009
14,0.466666666666667,16.1265816031009,18.5,7.49324826976757
14,0.466666666666667,16.1265816031009,19,7.25991493643423
14,0.466666666666667,16.1265816031009,19.5,7.0265816031009
14,0.466666666666667,16.1265816031009,20,6.79324826976756
14,0.466666666666667,16.1265816031009,20.5,6.55991493643423
14,0.466666666666667,16.1265816031009,21,6.3265816031009
14,0.466666666666667,16.1265816031009,21.5,6.09324826976757
14,0.466666666666667,16.1265816031009,22,5.85991493643423
14,0.466666666666667,16.1265816031009,22.5,5.6265816031009
14,0.466666666666667,16.1265816031009,23,5.39324826976756
14,0.466666666666667,16.1265816031009,23.5,5.15991493643423
14,0.466666666666667,16.1265816031009,24,4.9265816031009
14,0.466666666666667,16.1265816031009,24.5,4.69324826976757
14,0.466666666666667,16.1265816031009,25,4.45991493643423
14,0.466666666666667,16.1265816031009,25.5,4.2265816031009
14,0.466666666666667,16.1265816031009,26,3.99324826976757
14,0.466666666666667,16.1265816031009,26.5,3.75991493643423
14,0.466666666666667,16.1265816031009,27,3.5265816031009
14,0.466666666666667,16.1265816031009,27.5,3.29324826976756
14,0.466666666666667,16.1265816031009,28,3.05991493643423
14,0.466666666666667,16.1265816031009,28.5,2.8265816031009
14,0.466666666666667,16.1265816031009,29,2.59324826976757
14,0.466666666666667,16.1265816031009,29.5,2.35991493643423
14,0.466666666666667,16.1265816031009,30,2.1265816031009
14,0.466666666666667,16.1265816031009,30.5,1.89324826976756
14,0.466666666666667,16.1265816031009,31,1.65991493643423
14,0.466666666666667,16.1265816031009,31.5,1.4265816031009
14,0.466666666666667,16.1265816031009,32,1.19324826976757
14,0.466666666666667,16.1265816031009,32.5,0.959914936434233
14,0.466666666666667,16.1265816031009,33,0.726581603100898
14,0.466666666666667,16.1265816031009,33.5,0.493248269767566
14,0.466666666666667,16.1265816031009,34,0.259914936434232
14,0.466666666666667,16.1265816031009,34.5,0.0265816031008974
14,0.466666666666667,16.1265816031009,35,-0.206751730232433
14,0.466666666666667,16.1265816031009,35.5,-0.440085063565768
14,0.466666666666667,16.1265816031009,36,-0.673418396899102
14,0.466666666666667,16.1265816031009,36.5,-0.906751730232436
14,0.466666666666667,16.1265816031009,37,-1.14008506356577
14,0.466666666666667,16.1265816031009,37.5,-1.3734183968991
14,0.466666666666667,16.1265816031009,38,-1.60675173023244
14,0.466666666666667,16.1265816031009,38.5,-1.84008506356577
14,0.466666666666667,16.1265816031009,39,-2.0734183968991
14,0.466666666666667,16.1265816031009,39.5,-2.30675173023243
14,0.466666666666667,16.1265816031009,40,-2.54008506356577
14,0.466666666666667,16.1265816031009,40.5,-2.7734183968991
14,0.466666666666667,16.1265816031009,41,-3.00675173023243
14,0.466666666666667,16.1265816031009,41.5,-3.24008506356577
14,0.466666666666667,16.1265816031009,42,-3.4734183968991
14,0.466666666666667,16.1265816031009,42.5,-3.70675173023243
14,0.466666666666667,16.1265816031009,43,-3.94008506356577
14,0.466666666666667,16.1265816031009,43.5,-4.1734183968991
14,0.466666666666667,16.1265816031009,44,-4.40675173023244
14,0.466666666666667,16.1265816031009,44.5,-4.64008506356577
10,0.333333333333333,10.1394616456147,45,-4.8605383543853
10,0.333333333333333,10.1394616456147,45.5,-5.02720502105197
10,0.333333333333333,10.1394616456147,46,-5.19387168771863
10,0.333333333333333,10.1394616456147,46.5,-5.3605383543853
